x,y,r
548.5,923.7272727272727,170.00349593700477
537.5,922.4090909090908,165.31757804127227
558.5,671.9090909090909,114.27668747131857
547.5,671.8181818181819,108.18647654945298
536.5,670.9090909090909,103.64809022386041
525.5,668.3181818181819,101.7042588632631
514.5,663.6363636363636,103.02808877720325
503.5,656.6818181818181,107.95229517017785
492.5,648.0909090909091,115.791049560051
481.5,637.7272727272727,126.471833954551
470.5,627.7272727272727,137.6239411906944
459.5,618.5,148.66848347751562
448.5,611.0909090909091,158.48569559611855
437.5,607.0454545454545,165.58564408635655
426.5,606.5454545454545,169.90027021071867
415.5,609.7272727272727,171.4861843986156
405.0,617.4,169.67484401464523
397.4090909090909,629.3181818181819,163.70210501457814
393.7307692307692,646.0384615384615,152.57149790935424
393.125,662.0625,140.98382984620383
394.5,675.4444444444445,130.6311850190377
395.6666666666667,692.5833333333334,118.7615593676667
395.125,708.2708333333333,110.53085675572788
396.0,717.375,105.45721731078217
392.9,726.7,104.5828598134988
388.4090909090909,739.1363636363636,105.19495314692963
381.5,751.0666666666667,109.9036536880311
371.0,762.15,119.66798026103191
361.0,772.95,129.97340360452597
351.5,783.2222222222222,140.49523605370703
342.5,793.8333333333334,151.15576069237983
335.75000000000006,805.3333333333334,160.3595876404205
332.3333333333333,837.2916666666666,174.51962819111742
339.5,848.2272727272727,173.10298418441985
350.5,855.7272727272727,167.57645631441264
361.5,859.1818181818181,160.5180589059382
372.5,860.0,152.32288548625672
383.5,860.0,143.95776105279913
394.5,859.4545454545455,135.583324721408
405.5,858.7272727272727,127.47512053111207
416.5,858.1818181818181,119.97622997639802
427.5,858.0454545454545,113.39386107344967
438.5,858.8636363636364,108.37214786531459
449.5,861.0,105.49196924781825
460.5,865.1363636363636,105.66358500227041
471.5,871.5454545454545,109.36878362358425
482.5,879.9545454545455,116.37340961165617
493.5,889.7272727272727,125.89213942399984
504.5,900.1818181818181,137.01577306793234
515.5,909.5909090909092,147.82631887714558
526.5,917.6363636363636,157.8915807062688
559.5,921.2727272727273,171.80227489366143
570.5,914.7727272727273,170.72661253653996
579.4230769230769,905.2307692307692,166.92301760482292
583.75,889.7916666666666,156.5998416126621
583.9285714285714,874.0714285714286,144.37725972487206
583.3181818181819,859.5454545454545,133.19406321173355
581.6428571428571,845.1428571428571,122.0016049354278
581.4999999999999,828.6071428571429,111.55243483733862
583.9545454545455,809.2272727272727,103.74108310617453
589.0,795.0833333333334,103.17970860336219
594.5,784.5454545454545,105.88311819630697
602.5,772.9444444444445,112.2120846995457
612.0,762.1,121.35721066790086
622.0,751.1,131.96340153233416
631.5,740.3888888888889,142.78782518709215
640.1363636363636,730.9545454545455,153.06119282341544
645.9545454545455,718.5,161.78978202049584
648.0,707.25,167.22068394245125
644.4285714285714,693.8928571428571,168.94533806552144
635.5,680.1818181818181,167.28161324017645
624.5,673.2727272727273,161.62202485643178
613.5,670.4545454545455,154.32650234086412
602.5,670.0,146.014455002963
591.5,670.1363636363636,137.67739094001638
580.5,670.6363636363636,129.4758956177106
569.5,671.4545454545455,121.47650710884973
