x,y,r,arc_length
548.5,923.7272727272727,174.51962819111742,0.0
537.5,922.4090909090908,173.10298418441985,3.7383327355765346
558.5,671.9090909090909,167.57645631441264,6.975779824611436
547.5,671.8181818181819,160.5180589059382,10.073024773607557
536.5,670.9090909090909,152.32288548625672,13.161737496253465
525.5,668.3181818181819,143.95776105279913,16.254245225723764
514.5,663.6363636363636,135.583324721408,19.349701410522755
503.5,656.6818181818181,127.47512053111207,22.442209139993054
492.5,648.0909090909091,119.97622997639802,25.53115918716071
481.5,637.7272727272727,113.39386107344967,28.62840413615686
470.5,627.7272727272727,108.37214786531459,31.77482989392672
459.5,618.5,105.49196924781825,35.07469825155499
448.5,611.0909090909091,105.66358500227041,38.649440924551385
437.5,607.0454545454545,109.36878362358425,42.53729895828144
426.5,606.5454545454545,116.37340961165617,46.66891541841892
415.5,609.7272727272727,125.89213942399984,50.93009132771678
405.0,617.4,137.01577306793234,54.994608531402974
397.4090909090909,629.3181818181819,147.82631887714558,58.82131445100944
393.7307692307692,646.0384615384615,157.8915807062688,68.14353973640704
393.125,662.0625,171.80227489366143,71.73120096117185
394.5,675.4444444444445,170.72661253653996,75.39949181765405
395.6666666666667,692.5833333333334,166.92301760482292,79.90170300168802
395.125,708.2708333333333,156.5998416126621,84.31610590715565
396.0,717.375,144.37725972487206,88.39848357789043
392.9,726.7,133.19406321173355,92.46988646776447
388.4090909090909,739.1363636363636,122.0016049354278,97.11315711151644
381.5,751.0666666666667,111.55243483733862,102.59834340167816
371.0,762.15,103.74108310617453,106.8149730222321
361.0,772.95,103.17970860336219,110.15270248469778
351.5,783.2222222222222,105.88311819630697,114.10961402634359
342.5,793.8333333333334,112.2120846995457,118.1578135543678
335.75000000000006,805.3333333333334,121.35721066790086,122.33208770669245
332.3333333333333,837.2916666666666,131.96340153233416,126.35220155994551
339.5,848.2272727272727,142.78782518709215,129.9436365018849
350.5,855.7272727272727,153.06119282341544,133.8035515769119
361.5,859.1818181818181,161.78978202049584,137.01425118937283
372.5,860.0,167.22068394245125,140.89658476084173
383.5,860.0,168.94533806552144,145.4908782241759
394.5,859.4545454545455,167.28161324017645,149.13831784233236
405.5,858.7272727272727,161.62202485643178,152.32678746309074
416.5,858.1818181818181,154.32650234086412,155.41813610142452
427.5,858.0454545454545,146.014455002963,158.50708614859224
438.5,858.8636363636364,137.67739094001638,161.5989880437167
449.5,861.0,129.4758956177106,164.69623299271285
460.5,865.1363636363636,121.47650710884973,164.69623299271285
471.5,871.5454545454545,170.00349593700477,167.80704417278605
482.5,879.9545454545455,165.31757804127227,238.39218816308124
493.5,889.7272727272727,114.27668747131857,241.48100636554352
504.5,900.1818181818181,108.18647654945298,244.58024929984367
515.5,909.5909090909092,103.64809022386041,247.75348302971162
526.5,917.6363636363636,101.7042588632631,251.11032160006692
559.5,921.2727272727273,103.02808877720325,254.76456579500154
570.5,914.7727272727273,107.95229517017785,258.68363970295695
579.4230769230769,905.2307692307692,115.791049560051,262.9272705333222
583.75,889.7916666666666,126.471833954551,267.10154468564684
583.9285714285714,874.0714285714286,137.6239411906944,271.13306327293935
583.3181818181819,859.5454545454545,148.66848347751562,274.85707568566477
581.6428571428571,845.1428571428571,158.48569559611855,278.14804617218994
581.4999999999999,828.6071428571429,165.58564408635655,281.23994806731434
583.9545454545455,809.2272727272727,169.90027021071867,284.4552804291432
589.0,795.0833333333334,171.4861843986156,288.10688104656
594.5,784.5454545454545,169.67484401464523,292.0745530052463
602.5,772.9444444444445,163.70210501457814,296.88174108746534
612.0,762.1,152.57149790935424,301.3843779206472
622.0,751.1,140.98382984620383,305.1617050671543
631.5,740.3888888888889,130.6311850190377,309.9853059616244
640.1363636363636,730.9545454545455,118.7615593676667,314.392856532259
645.9545454545455,718.5,110.53085675572788,316.96101391736676
648.0,707.25,105.45721731078217,319.72029605603353
644.4285714285714,693.8928571428571,104.5828598134988,323.43303621514025
635.5,680.1818181818181,105.19495314692963,327.3041768978613
624.5,673.2727272727273,109.9036536880311,331.5911120252442
613.5,670.4545454545455,119.66798026103191,335.72400496552706
602.5,670.0,129.97340360452597,339.65277214617555
591.5,670.1363636363636,140.49523605370703,343.5596754426636
580.5,670.6363636363636,151.15576069237983,347.3039352487497
569.5,671.4545454545455,160.3595876404205,356.3287192708647
