x,y,r,arc_length
548.5,923.7272727,170.0034959,3.11081118
537.5,922.4090909,165.317578,73.69595517
558.5,671.9090909,114.2766875,76.78477337
547.5,671.8181818,108.1864765,79.88401631
536.5,670.9090909,103.6480902,83.05725004
525.5,668.3181818,101.7042589,86.41408861
514.5,663.6363636,103.0280888,90.0683328
503.5,656.6818182,107.9522952,93.98740671
492.5,648.0909091,115.7910496,98.23103754
481.5,637.7272727,126.471834,102.4053117
470.5,627.7272727,137.6239412,106.4368303
459.5,618.5,148.6684835,110.1608427
448.5,611.0909091,158.4856956,113.4518132
437.5,607.0454545,165.5856441,116.5437151
426.5,606.5454545,169.9002702,119.7590474
415.5,609.7272727,171.4861844,123.4106481
405,617.4,169.674844,127.37832
397.4090909,629.3181818,163.702105,132.1855081
393.7307692,646.0384615,152.5714979,136.6881449
393.125,662.0625,140.9838298,140.4654721
394.5,675.4444444,130.631185,145.289073
395.6666667,692.5833333,118.7615594,149.6966235
395.125,708.2708333,110.5308568,152.2647809
396,717.375,105.4572173,155.0240631
392.9,726.7,104.5828598,158.7368032
388.4090909,739.1363636,105.1949531,162.6079439
381.5,751.0666667,109.9036537,166.894879
371,762.15,119.6679803,171.027772
361,772.95,129.9734036,174.9565392
351.5,783.2222222,140.4952361,178.8634424
342.5,793.8333333,151.1557607,182.6077023
335.75,805.3333333,160.3595876,191.6324863
332.3333333,837.2916667,174.5196282,195.303767
339.5,848.2272727,173.1029842,199.0420997
350.5,855.7272727,167.5764563,202.2795468
361.5,859.1818182,160.5180589,205.3767918
372.5,860,152.3228855,208.4655045
383.5,860,143.9577611,211.5580122
394.5,859.4545455,135.5833247,214.6534684
405.5,858.7272727,127.4751205,217.7459761
416.5,858.1818182,119.97623,220.8349262
427.5,858.0454545,113.3938611,223.9321711
438.5,858.8636364,108.3721479,227.0785969
449.5,861,105.4919692,230.3784653
460.5,865.1363636,105.663585,233.9532079
471.5,871.5454545,109.3687836,237.841066
482.5,879.9545455,116.3734096,241.9726824
493.5,889.7272727,125.8921394,246.2338583
504.5,900.1818182,137.0157731,250.2983755
515.5,909.5909091,147.8263189,254.1250815
526.5,917.6363636,157.8915807,263.4473067
559.5,921.2727273,171.8022749,267.034968
570.5,914.7727273,170.7266125,270.7032588
579.4230769,905.2307692,166.9230176,275.20547
583.75,889.7916667,156.5998416,279.6198729
583.9285714,874.0714286,144.3772597,283.7022506
583.3181818,859.5454545,133.1940632,287.7736535
581.6428571,845.1428571,122.0016049,292.4169241
581.5,828.6071429,111.5524348,297.9021104
583.9545455,809.2272727,103.7410831,302.11874
589,795.0833333,103.1797086,305.4564695
594.5,784.5454545,105.8831182,309.413381
602.5,772.9444444,112.2120847,313.4615806
612,762.1,121.3572107,317.6358547
622,751.1,131.9634015,321.6559686
631.5,740.3888889,142.7878252,325.2474035
640.1363636,730.9545455,153.0611928,329.1073186
645.9545455,718.5,161.789782,332.3180182
648,707.25,167.2206839,336.2003518
644.4285714,693.8928571,168.9453381,340.7946452
635.5,680.1818182,167.2816132,344.4420848
624.5,673.2727273,161.6220249,347.6305545
613.5,670.4545455,154.3265023,350.7219031
602.5,670,146.014455,353.8108532
591.5,670.1363636,137.6773909,356.9027551
580.5,670.6363636,129.4758956,360
569.5,671.4545455,121.4765071,0
